L,polyDeg,trial,setup_time_ms,total_keygen_time_ms,avg_keygen_time_ms,aggregate_time_ms,avg_enc_time_ms,avg_indiv_decrypt_time_ms,avg_combine_time_ms,avg_total_decrypt_time_ms
16,10,1,59.0000,1369.0000,85.0000,1.0000,41.0000,16.0000,27.0000,204.0000
16,10,2,58.0000,1368.0000,85.0000,1.0000,41.0000,15.0000,28.0000,204.0000
16,10,3,59.0000,1368.0000,85.0000,1.0000,41.0000,16.0000,28.0000,204.0000
16,10,4,59.0000,1369.0000,85.0000,1.0000,41.0000,15.0000,28.0000,204.0000
16,10,5,59.0000,1368.0000,85.0000,1.0000,42.0000,15.0000,28.0000,204.0000
64,42,1,229.0000,21317.0000,333.0000,26.0000,77.0000,15.0000,105.0000,792.0000
64,42,2,229.0000,21308.0000,332.0000,24.0000,77.0000,15.0000,105.0000,793.0000
64,42,3,229.0000,21312.0000,333.0000,24.0000,77.0000,15.0000,105.0000,793.0000
64,42,4,230.0000,21312.0000,333.0000,24.0000,77.0000,15.0000,105.0000,792.0000
64,42,5,229.0000,22416.0000,350.0000,26.0000,85.0000,19.0000,116.0000,951.0000
256,170,1,1137.0000,340869.0000,1331.0000,391.0000,154.0000,16.0000,476.0000,3313.0000
256,170,2,1089.0000,343495.0000,1341.0000,399.0000,169.0000,16.0000,653.0000,3454.0000
256,170,3,1027.0000,343693.0000,1342.0000,455.0000,205.0000,15.0000,619.0000,3354.0000
256,170,4,1033.0000,340754.0000,1331.0000,407.0000,157.0000,16.0000,593.0000,3341.0000
256,170,5,1068.0000,342059.0000,1336.0000,399.0000,149.0000,16.0000,604.0000,3349.0000
1024,682,1,9899.0000,5381438.0000,5255.0000,6430.0000,295.0000,16.0000,3755.0000,14873.0000
1024,682,2,10401.0000,5402281.0000,5275.0000,6448.0000,334.0000,16.0000,3854.0000,15235.0000
1024,682,3,10535.0000,5405636.0000,5278.0000,6451.0000,291.0000,16.0000,3883.0000,15295.0000
1024,682,4,10517.0000,5396114.0000,5269.0000,6492.0000,291.0000,16.0000,4084.0000,15578.0000
1024,682,5,10962.0000,5397330.0000,5270.0000,6756.0000,300.0000,16.0000,3905.0000,15382.0000
